Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1005438	0.0453031628057804	0.00919989798119742	0.114449319178731	0.123317155873823	0	0.152422790401633	0	0	0	0.0241768008565742	0	0.0283635465669013	0.0223875564737546	0	0.0362182092249344	0.278271232350351	0	0	0.0981210436567072	0	0	0.067769284629613	0.034	0.173365719402224	1.01112370913109
GSM1005440	0	0.0860361943499839	0.170261419343136	0.136891690415399	0	0.0728938306001228	0	0	0.0303775430013229	0.0249553569078317	0	0.0189646291278301	0.0291488067732013	0	0.0221161032590178	0.322120702063825	0.00601240466745471	0	0.0526683137520985	0	0	0.0275530057387766	0.003	0.276011343790225	0.975184998517961
GSM1005442	0.028610490379105	0	0.0384586419674829	0.0477118812284122	0	0.115014537053538	0	0.00523481986048023	0	0.0772917981266543	0	0.0155441777983191	0.0487433189749484	0	0.0310569870256271	0.335896451377868	0	0.0033747391974665	0.102287223930653	0	0	0.150774933079445	0.00600000000000001	0.239368849895925	0.98752362848782
GSM1005444	0.0348465530606182	0.0719897406860623	0.0417764380661055	0.117997950628608	0	0.0568194514959274	0	0.0446977479148864	0.0322318085368976	0.0465373603950651	0	0.0122508005787668	0.0125903654050795	0	0.022822556815466	0.248784365815673	0	0	0.0862110944306368	0.0157838831190812	0	0.154659883051125	0.016	0.210459766852731	0.997513056515787
GSM1006245	0.093574284432151	0	0.170144048634732	0.0304904521182311	0	0.147165478145253	0	0.0233713673217294	0	0.164270120034174	0	0.0142108878857961	0	0	0.0573557649361319	0.177281249023378	0.00382952303443249	0	0.0366100588772814	0.0119464636205772	0	0.069750301936132	0	0.433573544185879	0.900699741642723
GSM1006247	0.0467485336468854	0	0.068632647587421	0.168052936485223	0	0	0	0	0.0799557201768007	0.0471119347581994	0	0	0.134867364954309	0	0.0712633853788346	0.213891808733579	0	0	0.0485873179708108	0	0	0.120888350307937	0.00800000000000001	0.234736519471021	0.989026303107256
GSM1006249	0.0293963493711455	0	0.179315863864364	0.176305691858313	0	0.0514396276693258	0	0.0311677982374917	0	0.0899768181105299	0	0.0313658342510191	0.021610710689914	0	0.0270988171631996	0.204921456235294	0	0.0014391419665937	0.0799183760021948	0.00808500121794255	0	0.0679585133626723	0	0.366930611506544	0.932795573028751
GSM1006251	0	0.0487186928158183	0.0456744623261192	0.0390843189880003	0	0.155035531518856	0	0	0	0.0676492242706736	0	0.0484621346075578	0.00315358501473512	0	0.0504884561945453	0.303738353490003	0.00130364234344218	0.000650585813289615	0.153818764069814	0	0.00341661066050412	0.0788056378866408	0.0600000000000001	0.139466134439236	1.02235624396455
GSM1006253	0.045376730417864	0.0149857000164506	0.136652769953195	0.11320765528698	0	0.109236149205525	0	0	0	0.0934502596015035	0	0.0187738486227403	0.0134497777017815	0	0.0228007273659539	0.21120928869972	0	0.0109162275254365	0.142002636270556	0	0	0.0679382293322941	0.034	0.173363951046566	1.01331899408724
GSM2102184	0.0385886938111413	0	0.0322719581465348	0.119814334884154	0	0.21396769101059	0	0	0.00332052171898866	0.0105147738477124	0	0.0341456682705553	0.0387165019004576	0	0.0315572785971606	0.391721312388212	0.00047666084759442	0	0.0819149752698643	0	0.00298962930703488	0	0.034	0.171580152290885	1.01470354054766
GSM2102186	0.0620586098962754	0	0.109927464366784	0.0776459721608444	0	0.123995709324255	0	0	0	0.0359427984214712	0	0.0159072331019677	0.0267027212287763	0	0.0460522281888097	0.267051338879206	0.0258065418563697	0	0.145254736166825	0	0.0362818015789695	0.0273728448294462	0.004	0.258066588792118	0.9743172265663
GSM2102188	0.0746607988040016	0	0.091402816506418	0.0970077104803342	0	0.222670911308099	0.0299676746807596	0.00166675786328718	0	0.108649678496243	0	0	0.0246763605199084	0	0.029172833681324	0.190451595188092	0.00882615161101112	0.00908532871659869	0.0520409889363296	0	0.000346802525047805	0.0593735906825461	0	0.315933222720657	0.953395048652201
GSM2102190	0.00545844227865614	0.00390539290919957	0.051852696247549	0.0998831969239659	0	0.131016823934484	0	0.0311095596888852	0.0027182255057531	0.0651253262434645	0	0.0524071364528597	0.115252409024436	0	0.0434707069709621	0.163530329570826	0	0	0.172954024919933	0	0	0.0613157293290257	0.194	0.0917461736263619	1.04185916951742
GSM2102192	0.0422614554095824	0.0409348251274928	0.0278055805934383	0.0147731903998474	0	0.0743978835214505	0	0.0145026858657696	0	0.0833955669279999	0	0.0405650317953397	0.0426713706329142	0	0.0916176425922565	0.197822538669568	0	0	0.184887887749397	0	0	0.144364340714944	0.0649999999999999	0.13732506839743	1.02890846709357
GSM2102194	0.0853773989637035	0	0.194532808364255	0.100420246306085	0	0.0676511812179189	0	0	0	0.100458868850002	0	0.0237718267014507	0.0165753991680752	0	0.0408793719219817	0.224160523575566	0	0	0.122575439892014	0	0	0.0235969350389485	0	0.350635509082447	0.941825954250908
GSM2102196	0	0.0352552806000236	0.0278974552598618	0.167197679877407	0	0.112089986084159	0	0.0249168411090278	0	0	0	0.0620480348040548	0.0110309887394687	0	0.0224876560386023	0.41273365481165	0	0	0.0950621806913979	0	0	0.0292802419843469	0.466	0.0420690372595163	1.06830432741007
GSM2102198	0	0.0977860207064019	0.0850627113872933	0.163652867266425	0	0	0	0.045159515349628	0.041540749634099	0.014507850313924	0	0.0339813919943874	0.00976816537557892	0	0.0108119161772954	0.327836121678726	0	0.0126807325514924	0.100701663685878	0	0	0.0565102938788713	0.105	0.116733477787463	1.03336269776491
GSM2102200	0	0.0282091426306226	0.0268732639207794	0.15535997177804	0	0.101457895823602	0	0.101532337077111	0	0.0497151792443762	0	0.0458208863679252	0.029560781906605	0	0.0389466632191902	0.269465662193615	0.032756693997697	0	0.0410997589134594	0	0	0.079201762926977	0.305	0.0648368783767555	1.05886216249632
GSM2102202	0.0800862130136266	0	0.00172282342049199	0.186342957406185	0	0.168655990364465	0	0	0.0220962446342619	0	0	0.038023558421768	0.105622769574714	0	0.0459833997218176	0.164791158118174	0.0148269535363932	0	0.150673229473513	0	0	0.0211747023145896	0.034	0.171476187556862	1.0115332447188
GSM2102204	0	0.0517711241394952	0.037817469622195	0.17178736130899	0	0.132398044608096	0	0.00694722721682358	0.0195383781663321	0	0	0.00702219125448521	0.0711537500640373	0	0	0.277711185997776	0	0.0485229822474953	0	0.127123020536691	0.0267592730345842	0.0214479918029997	0.204	0.0887016600586169	1.04520472657795
GSM2102206	0	0.121986660182569	0.053819023791486	0.158741422738645	0	0.0586988901984616	0	0.0908319047024178	0	0.0707346473306489	0	0.0157679705359356	0	0.0752584164862087	0.0759250592136583	0.22416867199145	0.0017741955506196	0	0.0522931372778996	0	0	0	0.043	0.157595286732546	1.0212132166526
GSM2102208	0	0.124116483638001	0.087942537165259	0.0906980485396899	0	0.128756394301098	0	0	0.00753864168398813	0	0.0324435954667282	0	0.0366369283350319	0	0.00975097680014849	0.232442219910008	0	0.00511867086841413	0	0.187827475830174	0.00785864476313427	0.0488693826983258	0.023	0.19408072354924	1.00861500689582
GSM373956	0.0658999066135765	0.0449434290914907	0.0855364090647976	0.140027277125417	0	0.044247487428562	0	0.022802253817509	0.0546783795883977	0	0.00833593682712466	0.0213759449861508	0.061566870901285	0	0.0790626906910563	0.207125898340149	0	0	0.0686850080117766	0.0526577966902425	0	0.0430547108224644	0.08	0.128289899344476	1.02906043620536
GSM373957	0.0763248793817323	0	0.0808846755178506	0.0301533581484154	0	0.195526100040712	0	0.0336217961376581	0	0.083814799136493	0	0.015089734067755	0	0	0.0302260393766858	0.284950663658522	0.00095187742644273	0.00249422528884258	0.0816793778186269	0	0	0.084282474000264	0.115	0.113446353410373	1.03407215322647
GSM373958	0.0226806525942239	0.0475292578313632	0.0479280603802361	0	0	0.241735197663721	0	0.0146969858835935	0	0.0579166747488312	0	0.0178588409602201	0.0786116898427463	0	0.0399832797075648	0.279839938753777	0.000351293163605328	0	0.0773258991933558	0.0317031464520552	0	0.0418390828247067	0.081	0.126976433137445	1.02568935284016
GSM373959	0.0340962880856306	0	0.0462397774929934	0.0383866330160261	0	0.089071815581279	0.00090452840464954	0.014313728761053	0	0.163011768444627	0	0.00677685211623239	0.0247188421550162	0	0.0403874393638359	0.357294405487004	0.00912932260861073	0	0.0994229942929394	0	0.0154674211191758	0.0607781830709266	0.036	0.168775352273379	1.01346062713491
GSM373960	0.05495035221111	0	0.0428022238472458	0.284065086420795	0	0	0	0.0146371395911968	0.0114907702771371	0	0	0.0148546803359848	0.0859690423365277	0	0.0265113222208034	0.315361566017789	0	0	0.105076251067657	0.0129062605312046	0	0.0313753051425484	0.022	0.198210906847773	1.00088957567455
GSM373961	0.0220363731511861	0.0152698361825594	0.050019399430016	0.159401164305495	0	0.106687781322132	0	0	0.0240801493831462	0.0174372535324053	0	0.034235313493519	0	0	0.0500295223876543	0.298588836943317	0.0146495195126264	0	0.139966124219618	0	0	0.0675987261363256	0.077	0.130580372820138	1.02574509930371
GSM373962	0	0.0785159158148627	0.0547484299808871	0.15158286361989	0	0.161021110901231	0	0	0.0115041858644063	0.00837466115125438	0	0.0161328616038621	0.0675040253841582	0	0.0186065638188715	0.302916394053337	0.00522534660287719	0.00466395781887109	0.0837776121075929	0	0.0354260712778991	0	0.16	0.0986637942900004	1.03766084722048
GSM373963	0	0.024423901199499	0.0854408140509746	0.144650948349007	0	0.15363874850357	0	0.0262787768072002	0.0122387266945128	0	0.0160316812117277	0.0160221363211975	0.117815323582116	0	0	0.285684959157217	0	0.00687076707881429	0.0686683033962979	0	0.0422349136478671	0	0.115	0.112894672417	1.03332508389891
GSM373964	0	0.171860484631055	0.0125546672348057	0.161174508920663	0	0.0738745902918413	0	0.0261803270296362	0.0767802402174643	0.0640711975394954	0.0387792736103695	0	0.0754603404323678	0	0.0195344564107417	0.126545696353565	0	0.0156522162375148	0.132166751722724	0	0.00536524936775635	0	0.125	0.10813562746904	1.04009952402835
GSM373965	0.0311124468895161	0	0.115130934682423	0.0905256185241604	0	0.0825311541739217	0	0	0.018575077095553	0.0468371174902508	0	0.0562841929119773	0	0	0.0740686816052484	0.286209650828524	0	0.0195095695377462	0.115104156494687	0	0	0.0641113997659916	0.102	0.118564451236625	1.03358976308272
